block_index,R_comp_max
1,1.6408905064461088
2,3.076665422023388
3,1.69680456547287
4,1.6884101668555098
5,1.4777293148340533
6,2.171808277560668
7,1.4611986711581537
8,2.63016516623772
9,1.3259529776356227
10,1.4568450904841632
11,2.6025737806078175
12,2.0988725603883083
13,1.9557128341602126
14,5.585044754840225
15,1.931320645194606
16,1.7208228504627405
17,1.6879429656109652
18,1.807445123380709
19,2.4872412527708803
20,2.893471609773763
21,1.4419912527612853
22,1.952319971995711
23,1.6264023081193926
24,1.1721591257340036
25,1.7248433311261542
26,3.7281136732079725
27,1.7062645204794484
28,2.309307500758497
29,1.93380822439473
30,1.3191190342704193
31,1.4889709681890757
32,2.7092431440091587
33,2.198109237056271
34,1.137701588190793
35,1.8220059255368262
36,1.1966279875091592
37,1.5600660798711514
38,2.659313202522969
39,1.3489553261063745
40,1.149383282123413
41,2.0903556509669325
42,1.42357539140953
43,3.732650343144006
44,2.257439190560949
45,2.2581695822027896
46,1.4609428508972364
47,2.0014968020551587
48,2.7556608674456062
49,2.488058545488447
50,2.1556398862675614
51,2.239719291576898
52,1.218887895111717
53,1.9210849307497346
54,2.157210770368105
55,1.4296807832986151
56,1.2958695351861655
57,2.2351506096682523
58,1.6109197341645016
59,1.4731688922408985
60,1.7266012018399879
61,3.3971579271375654
62,1.7360551700154667
63,1.486041213336005
64,2.581278548966925
65,2.308650458223609
66,2.0066931364643
67,5.44534745486712
68,1.6774488881163467
69,2.1465559873514137
70,2.7321165141598893
71,2.1701428187852954
72,3.07784915824602
73,1.754835510785917
74,2.605120479062303
75,1.3562962988727272
76,1.2994105179075526
77,2.058378983218409
78,1.3594578341830692
79,1.1917194170455445
80,1.3627662719066787
81,1.735004789810454
82,1.4437824307772251
83,1.3916350762036833
84,1.4803087842911835
85,1.8149704991380162
86,3.13371800167567
87,1.62863332797205
88,2.0323029422937737
89,1.8833349208747847
90,1.0397419921646387
91,1.4922876582710438
92,3.085326530426956
93,2.493581390603758
94,1.9770795515506627
95,1.3144363583412535
96,1.7757470125076085
97,2.5461457217074357
98,2.299873395906125
99,1.4706163416701763
100,2.996293493331327
