Metric,f_rand (multiplicative),f_fully_rand (independent)
Mean,2.1938845027460974,3.0910715672414395
Std,2.680329441068998,1.573125116780228
Median,1.358639706375404,2.949094914629469
Min,0.02141896623624732,0.028767868865736502
Max,29.864133315267395,9.925338722943435
Skewness,3.942255742481453,0.5390310389575328
Kurtosis (excess),22.719711026973748,0.059353387205897334
99th percentile,13.87312375677642,7.265393367722912
99.9th percentile,26.259306978862163,8.84270210725194
99.99th percentile,29.42631640717343,9.789567780689072
Count > 10,218.0,0.0
Count > 15,77.0,0.0
Count > 20,38.0,0.0
