epsilon,max_R_comp,t_at_max,relative_strength,dR_deps
-0.1,0.0037351551198402783,86.00000000000307,2.916306209874908,-0.0012573090109389013
-0.08,0.0037100089396215003,86.00000000000307,2.2234428881729995,-0.0012034528959088964
-0.07,0.003698243691237562,86.00000000000307,1.899270031499678,-0.0011508402095521675
-0.06,0.0036869921354304577,86.00000000000307,1.5892511633057937,-0.0011003631103823908
-0.05,0.0036762364290299134,86.00000000000307,1.2928946431864263,-0.001051639386966341
-0.04,0.003665959347691131,86.00000000000307,1.0097258814962373,-0.0010046082605209838
-0.03,0.0036561442638194932,86.00000000000307,0.739286731099642,-0.0009592111164355432
-0.02,0.003646775125362421,86.00000000000307,0.48113490301386896,-0.0009153914197786439
-0.01,0.0036378364354239206,86.00000000000307,0.23484340471988663,-0.0008729726771533608
-0.005,0.0036335238128298955,86.00000000000307,0.11601589335450413,-0.000852320276352958
0.0,0.0036293132326603913,86.00000000000307,0.0,-0.0008320907496673358
0.005,0.0036252029053332217,86.00000000000307,-0.11325358445726241,-0.0008122160240847109
0.01,0.003621191072419544,86.00000000000307,-0.223793310749687,-0.0007927465162468478
0.02,0.0036134560085868505,86.00000000000307,-0.4369207907116035,-0.0007548248156522552
0.03,0.0036060945761064987,86.00000000000307,-0.6397534482542544,-0.0007181117220340649
0.04,0.003599093774146169,86.00000000000307,-0.8326495008001977,-0.0007000801960329802
