alpha,realization,seed,xi_gev,xi_ci_lower,xi_ci_upper,rcomp_mean,rcomp_std
0.8,0,13145,0.08802618516434602,-0.111973814835654,0.288026185164346,0.0029138537898370574,0.0012420160340509505
0.8,1,13245,0.30337485428704203,0.10337485428704202,0.503374854287042,0.003781662335750288,0.0032423574636371807
0.8,2,13345,0.1381754388695034,-0.061824561130496614,0.3381754388695034,0.0029320006169968015,0.0020685592135092543
0.8,3,13445,0.1524621619551389,-0.047537838044861114,0.3524621619551389,0.003410031154667267,0.00302179072601658
0.8,4,13545,0.22613721731424358,0.026137217314243566,0.4261372173142436,0.003703656484142828,0.002604935685227632
0.9,0,13245,0.2064318161789474,0.0064318161789473915,0.4064318161789474,0.0033350973788554635,0.002358410530711854
0.9,1,13345,0.22023589317851483,0.02023589317851482,0.42023589317851484,0.0029327214938407674,0.002240663342294283
0.9,2,13445,0.14305129809275852,-0.056948701907241495,0.3430512980927585,0.0032591327812428656,0.0035635104251435777
0.9,3,13545,0.13150417127526987,-0.06849582872473015,0.3315041712752699,0.0024837914045183,0.0015068783547588912
0.9,4,13645,0.214708022808606,0.014708022808606003,0.414708022808606,0.0028359471498941922,0.0019070339205557122
0.95,0,13295,0.0534164334887673,-0.14658356651123272,0.2534164334887673,0.0021876811659872434,0.0011567205504550637
0.95,1,13395,0.1964991340418415,-0.0035008659581585166,0.3964991340418415,0.002883070419453252,0.001999064879931114
0.95,2,13495,0.1217716935388364,-0.0782283064611636,0.3217716935388364,0.002501887479330012,0.0013824989616718028
0.95,3,13595,0.16399918959754434,-0.036000810402455674,0.36399918959754435,0.003462028042965988,0.003167239215615604
0.95,4,13695,0.07222011679221485,-0.12777988320778516,0.27222011679221486,0.0027403199981005165,0.001648460628326477
0.98,0,13325,0.13951859411043305,-0.060481405889566964,0.33951859411043306,0.0024148671265779463,0.0015742589595032844
0.98,1,13425,0.07867140641311948,-0.12132859358688053,0.2786714064131195,0.0017890472540866488,0.0010601703672485881
0.98,2,13525,0.05128575939375571,-0.1487142406062443,0.25128575939375575,0.002369747165846136,0.0014490182161039794
0.98,3,13625,0.060049827415150164,-0.13995017258484985,0.26004982741515015,0.00240138100547398,0.001453191063235368
0.98,4,13725,0.1117071852148501,-0.08829281478514991,0.3117071852148501,0.002213641906243082,0.0012102135525486233
0.99,0,13335,0.06849165204572036,-0.13150834795427965,0.26849165204572034,0.002043112581008906,0.001157236633671074
0.99,1,13435,0.07874896379360402,-0.12125103620639599,0.27874896379360403,0.002366507175013603,0.0011559542652697435
0.99,2,13535,0.036436480719247766,-0.16356351928075225,0.23643648071924778,0.002265586753904862,0.0012779659379182485
0.99,3,13635,0.18570833162781342,-0.014291668372186594,0.3857083316278134,0.0024229495691415553,0.0016251242383828887
0.99,4,13735,0.11624079103274015,-0.08375920896725986,0.31624079103274017,0.0024347492952335945,0.0014854512684926856
0.995,0,13340,0.05904733010572326,-0.14095266989427674,0.2590473301057233,0.00197409044925145,0.000956034102925088
0.995,1,13440,0.07418615940160878,-0.12581384059839124,0.2741861594016088,0.0021872186368862966,0.0015551194574353888
0.995,2,13540,0.08545743592581012,-0.11454256407418989,0.28545743592581013,0.0023213129865283758,0.0012344384129162806
0.995,3,13640,0.07605425515627975,-0.12394574484372026,0.2760542551562798,0.002218083880879543,0.0012798388144427998
0.995,4,13740,0.11084334784860594,-0.08915665215139407,0.31084334784860596,0.0018557047949312403,0.000751198851220573
1.0,0,13345,0.048445157840310685,-0.15155484215968934,0.24844515784031068,0.0023655794017241674,0.001312620246766365
1.0,1,13445,0.048445157840310685,-0.15155484215968934,0.24844515784031068,0.0020961404674990666,0.0012412264666366215
1.0,2,13545,0.048445157840310685,-0.15155484215968934,0.24844515784031068,0.0021727086576614867,0.0010899027430150894
1.0,3,13645,0.048445157840310685,-0.15155484215968934,0.24844515784031068,0.002062185779791036,0.000977243799174545
1.0,4,13745,0.048445157840310685,-0.15155484215968934,0.24844515784031068,0.002016355877195325,0.0011001871560289951
