Function,epsilon,N,t_range,xi,xi_ci_lower,xi_ci_upper,xi_se,c,loc,scale,n_blocks
L_DH^(-0.05),-0.05,10000,low,0.34173374650928023,0.13780783858262685,0.5456596544359336,0.10404383057482314,-0.34173374650928023,0.42610378155470996,0.3107672729233081,100
L_DH^(-0.05),-0.05,10000,high,0.18369687732849094,0.021817356698800194,0.3455763979581817,0.08259159215800549,-0.18369687732849094,0.42411001844319823,0.28258769353920743,100
L_DH^(+0.05),0.05,10000,low,0.34180963125075736,0.1378661676804267,0.545753094821088,0.104052787535883,-0.34180963125075736,0.5585267445456683,0.4073483294110227,100
L_DH^(+0.05),0.05,10000,high,0.1837692975348557,0.02186459660317558,0.34567399846653585,0.08260443925085721,-0.1837692975348557,0.5558996288844774,0.37042093780396484,100
L_DH^(-0.05),-0.05,100000,low,0.34347889455539127,0.13865909510058474,0.5482986940101978,0.10449989768102375,-0.34347889455539127,0.4261693326777235,0.3102692079475379,100
L_DH^(-0.05),-0.05,100000,high,0.2217525263877425,0.04953651747840773,0.3939685352970773,0.08786531066802797,-0.2217525263877425,0.4385317150838933,0.295477926718009,100
L_DH^(+0.05),0.05,100000,low,0.343459226086965,0.1386415342040465,0.5482769179698834,0.10449882238924411,-0.343459226086965,0.5586217124287598,0.4067053496144452,100
L_DH^(+0.05),0.05,100000,high,0.22166922964553476,0.04946438209230766,0.3938740771987619,0.08785961609858527,-0.22166922964553476,0.5747573217099095,0.38730316135581244,100
L_DH^(-0.05),-0.05,1000000,low,0.34344070973618146,0.13857259734198077,0.5483088221303821,0.1045245471398983,-0.34344070973618146,0.42619947242548306,0.3102615930285977,100
L_DH^(-0.05),-0.05,1000000,high,0.22167768416337547,0.04946536375509089,0.39389000457166,0.08786342877973702,-0.22167768416337547,0.43848531402717494,0.2954987754276144,100
L_DH^(+0.05),0.05,1000000,low,0.3434793788887433,0.1385836999193653,0.5483750578581212,0.10453861171907039,-0.3434793788887433,0.5586846252394406,0.4067237379894718,100
L_DH^(+0.05),0.05,1000000,high,0.2217142097363622,0.04949955347955523,0.3939288659931691,0.08786462053918721,-0.2217142097363622,0.5747475650487013,0.3873263062953817,100
