t,magnitude,red_S2_pct,red_S3_pct,difference_pct,kappa,perturbation
1798361.874024501,10.929852825175164,46.95304471306734,32.062279078186606,14.890765634880736,0.33408,+0.05
1932311.224646541,10.853254986934987,53.437039080031155,32.14048492860356,21.296554151427593,0.33408,+0.05
1862496.000486318,8.39887968319694,80.21851920885953,49.89218257439607,30.326336634463466,0.33408,+0.05
1190100.8839795226,8.45715432136704,39.774238465219085,28.127550650984166,11.64668781423492,0.33408,+0.05
1257350.9202682462,9.552554527060302,65.35601738586361,63.08716150033555,2.268855885528062,0.33408,+0.05
1828584.7409048781,6.411002972962112,69.75868724275546,45.77398295777195,23.984704284983508,0.33408,+0.05
1761504.6822511735,17.910244990983593,41.33744795471366,47.49832908454429,-6.160881129830628,0.33408,+0.05
1223648.2442491825,12.739643272806461,63.46636688450434,47.973426620716424,15.492940263787915,0.33408,+0.05
1272107.533611511,8.643116890938526,74.38492912264653,42.08010662536991,32.30482249727662,0.33408,+0.05
1810608.9324092106,6.448873532456133,58.33703878563902,38.38825552796267,19.948783257676347,0.33408,+0.05
1813599.4701317288,6.398699905071315,52.618175841345554,27.342746453948877,25.275429387396677,0.33408,+0.05
1682723.3543544197,20.34041706320144,39.28105324633486,60.980125233554965,-21.69907198722011,0.33408,+0.05
1080590.5936522887,11.854387130049773,47.98192210593551,39.99931563700561,7.982606468929902,0.33408,+0.05
1417987.0099544204,13.038947575405894,55.00660131753732,61.39922695270514,-6.392625635167825,0.33408,+0.05
1795225.2562884467,12.398821133863603,42.973259932612855,35.909041492366384,7.064218440246471,0.33408,+0.05
1317723.3245809472,13.308280344787544,49.72818495819406,35.00893198857755,14.719252969616512,0.33408,+0.05
1433479.580308787,27.268328958807604,28.409731368820296,34.400338371180354,-5.990607002360058,0.33408,+0.05
1779870.0179871114,10.710004050893119,60.635361761605516,28.292645651717116,32.3427161098884,0.33408,+0.05
1239285.8829058039,13.219341895389121,45.66549630099797,40.94172652227128,4.723769778726691,0.33408,+0.05
1701007.9182144592,10.20802357803903,70.48402208630363,67.71268123709054,2.7713408492130895,0.33408,+0.05
1597505.3227652805,14.356748699054743,53.26812197710526,45.387832196316616,7.880289780788644,0.23408,-0.05
1932308.2027736993,8.824216933483461,61.07151077406488,42.91456594615944,18.15694482790544,0.23408,-0.05
1186965.074602507,10.832401063262854,63.31068640025163,71.3811445503312,-8.070458150079567,0.23408,-0.05
1044041.4151715769,11.976071668985785,53.578758785304835,45.845532584093704,7.7332262012111315,0.23408,-0.05
1202238.2821973423,4.9874927436709715,44.69198990488542,37.45727105051738,7.23471885436804,0.23408,-0.05
1612541.7419417982,9.630848403258387,61.80475022048189,41.32049314207609,20.484257078405804,0.23408,-0.05
1761566.8263266638,11.432949866792011,49.94649165850951,36.83533684900637,13.111154809503141,0.23408,-0.05
1332488.8963732626,10.63156812256089,56.844967225439795,37.14531440918097,19.699652816258826,0.23408,-0.05
1329850.8398564644,11.340381357694296,42.65337622009402,35.89462636752449,6.7587498525695295,0.23408,-0.05
1317728.8336064303,5.213487724362247,57.46010371923786,6.653524415052181,50.806579304185675,0.23408,-0.05
1086326.5796262305,2.787427438525628,62.13139386612297,31.288387250273402,30.843006615849568,0.23408,-0.05
1727878.9662012914,5.019945859184972,44.389568077625256,53.1524304187376,-8.762862341112346,0.23408,-0.05
1792206.104050425,5.824166256443204,64.53647814396878,19.654845327383608,44.88163281658517,0.23408,-0.05
1010274.783521324,11.183194146870585,65.2007760409625,44.887325128818574,20.31345091214392,0.23408,-0.05
1138132.0276339175,6.816990538666691,55.44592399922196,24.934105920451078,30.511818078770883,0.23408,-0.05
1265700.4546553693,10.865593020401567,54.43864872802951,35.74628691922579,18.692361808803724,0.23408,-0.05
1040867.3509992553,27.169058921776916,33.694296296692464,35.0830677933119,-1.3887714966194338,0.23408,-0.05
1062324.4942455252,7.149170660038572,54.985810412697674,39.12414374521046,15.861666667487214,0.23408,-0.05
1506132.4687835868,5.793027155888822,43.81441916724418,37.87274870141158,5.941670465832601,0.23408,-0.05
1883170.7833835944,13.56884053957379,40.60004937637812,41.642712981793366,-1.0426636054152496,0.23408,-0.05
