Function,N,t_value,peak_height,r_original_file,r_canonical,difference,ratio_canonical_to_original
Zeta,10000000,18484848.484848484,16.508560688574317,0.7807265036229077,0.7493491091597299,-0.03137739446317789,0.9598100047614968
Zeta,10000000,12323232.323232325,10.284026835143774,0.6317127942567029,0.9864407368060616,0.3547279425493587,1.5615335731275555
Zeta,10000000,10909090.909090908,6.3670521514177825,-0.0747927357198691,-0.06171147384934764,0.013081261870521457,0.8250998343005342
Zeta,10000000,16161616.16161616,5.935386409608606,1.4373051978241171,2.8822828968482868,1.4449776990241696,2.0053381155315293
Zeta,10000000,11919191.91919192,5.878669341187549,0.6693115417144969,4.630739729003721,3.961428187289224,6.918661102334643
Liouville,10000000,19797979.7979798,21.827988714900133,1.924899533394066,4.2437146968362836,2.318815163442218,2.2046421764950934
Liouville,10000000,17878787.87878788,17.305548514727416,1.1813825415594024,5.914642033755294,4.7332594921958915,5.00654261061627
Liouville,10000000,13636363.636363637,12.2190033448388,1.7878879524256035,2.7155335086692696,0.9276455562436661,1.5188499396649224
Liouville,10000000,19292929.29292929,9.473383133007767,-0.3459843051288555,1.7855743622081253,2.131558667336981,-5.16085364491641
Liouville,10000000,12121212.12121212,7.941801301492468,0.850409794856132,3.7487376223442874,2.8983278274881554,4.408154333380509
