t,D_F_magnitude,r,numerator,denominator
1479500.0,14.411243340205282,3.442812273635066,141.99906112878801,41.245078105539406
1167500.0,26.68896158291701,3.384675659696457,515.323597735429,152.2519879442877
1519500.0,20.771590581316794,3.3770133155762148,308.5062431064656,91.35476063523475
1101500.0,13.23145790279778,3.1626353568054544,123.6790021894285,39.10631110959165
1881120.0,32.134523166030384,3.2175970328342576,740.5677360208501,230.1617413441336
1844310.0,10.455287478633906,3.36734289512384,69.50615646718451,20.6412470104647
1007500.0,15.817664700129548,3.0126580600267387,170.32156100684892,56.535311214621295
1305500.0,21.777754113791623,2.9193567279882995,344.2651110020816,117.92498933123235
1453620.0,5.087520053960133,3.0354073070669045,16.833686686812527,5.545775239988736
1834210.0,26.990714898426553,3.609581223854161,529.9503787823803,146.81769045122672
1699380.0,8.469111382025396,3.398134599328379,43.618475877758115,12.836005932895961
1828000.0,17.545116469112816,2.8106316807521288,202.39730133048664,72.01132141096654
1661000.0,6.829574310463045,2.767115724647,27.44625572779812,9.918723486456075
1901000.0,11.594045450085456,2.752721559878675,85.2722182947286,30.977422321815553
1787000.0,15.934243242728247,2.7346032951040633,165.76562576530299,60.61779639558099
1652380.0,21.206274655788604,3.012607213959551,308.17296896357254,102.29444035571186
1948000.0,20.26291778747626,2.688752882921744,274.69148155612464,102.16315649567245
1107500.0,12.259646382731644,2.64107113155062,92.11447205656599,34.877694491508805
1891500.0,8.890379720851644,2.5732061589429414,45.92329182467028,17.846720778693967
1041420.0,6.612374509944851,2.8124817772789097,23.863304275417928,8.484785383571728
1614090.0,3.9990750747529,2.8882637960253907,9.379553320678749,3.2474711394389177
1790500.0,13.853456542133895,2.4800456643691575,119.24856541716447,48.08321359981789
1346500.0,11.038205549967945,2.46981089772585,73.25701290703226,29.660980512510406
1274300.0,13.236945611373258,2.8868119869310043,112.10802034187506,38.83454164989044
1318500.0,16.28902944609885,2.4350850430675086,177.01296470604714,72.69272389889989
1371430.0,7.351414523045943,2.779115748335699,30.8840443449305,11.112903218739888
1160500.0,7.207374064921228,2.4135638823202457,27.849113556432144,11.538585641105879
1472310.0,9.160692432273121,2.7441948634557076,49.45250721983606,18.020771002231797
1940910.0,11.573218868252596,2.4167179042434137,80.58529056642925,33.34493050468692
1425500.0,12.189537505712725,2.3572070580459985,87.91213075885017,37.29503967789946
1532700.0,14.188766899232592,2.64591155716494,126.23709075578815,47.710245799390805
1054300.0,19.478093545538393,3.1048458056928334,259.0491553145899,83.433822974273
1809120.0,5.6320301967667605,2.4550068452301876,15.257521634864684,6.214859100905725
1060500.0,23.236139661937973,2.302241825555046,351.14155069436987,152.52157562106376
1340500.0,12.65025960207503,2.3015888963672553,95.34591253939502,41.426126398978354
1180660.0,6.187193355688079,3.4413232677848833,22.613202796016076,6.571077761773825
1419700.0,13.18006011113521,3.339889949270386,114.92298791112826,34.40921397312319
1676990.0,9.865851067081262,3.022913426122317,59.17048022467874,19.573991009256417
1840890.0,6.211365823325234,2.3557931579132547,19.77486681501849,8.394143920740024
1592700.0,15.734843180510767,2.246935871878332,161.1132899377936,71.70355502985963
1113500.0,7.64303621041602,2.18782293337223,30.578179177939774,13.97653288641951
1207370.0,8.647110815272008,2.1558304247631015,41.56270786323875,19.279210176192763
1432500.0,9.777679194254999,2.109319382765649,54.811948659758656,25.985608963537604
1903420.0,4.692657695413085,2.1051652165778583,9.53166545751733,4.5277517329551635
1064200.0,7.2822330025814646,2.702683722437312,29.670602662961738,10.978200081881736
1528990.0,6.5935738082584665,2.8749336811912465,24.938180945985096,8.674349989058463
1582990.0,12.024010103555101,2.1994020247466386,94.45459315109738,42.945578883868734
1309000.0,9.569782809729823,2.02514347918884,49.90302830332537,24.641724804266094
1718660.0,5.084268125290266,2.068556781040406,11.24559092456868,5.436442947876234
1239340.0,9.588459220173297,2.033666400085876,51.53561176096552,25.341231855327557
