,lam1,lam2,lam3,off1,off2,off3
F1,0.9588693328663224,0.02770836770386913,0.008152745331670543,0.9900519702823495,0.9798879228471858,0.9703207496997514
F2,0.9537979452225009,0.036089960037381755,0.006815428966482935,0.9888401646007993,0.9682644670089835,0.9623283322170709
F4,0.9234448377340279,0.039515283509101405,0.02319212673774281,0.9308658546314587,0.9081634623554184,0.9052271346020258
F5p,0.9231534817604791,0.038973394423065896,0.023948055758906364,0.9306511222099314,0.9091328517053225,0.9039614823672311
F5m,0.9239927566390896,0.03944122214409692,0.022776085752780627,0.9310175799156765,0.9079342280266977,0.9060500959771626
F6,0.937170118427483,0.04798682481387808,0.012672736902594512,0.9598690366717145,0.9566543262873297,0.9350365322202961
F7,0.9439377532875721,0.04505829225592469,0.009424020430376816,0.964135749602129,0.9603317315576474,0.9529606785863998
F9,0.9578443118166614,0.03267158158476602,0.006562189559028926,0.9765280672664727,0.9628838501734912,0.9205707665979439
F10,0.9541986869828967,0.03796292829936604,0.005749610118083716,0.9762300745945807,0.9570762115751582,0.9040007617753728
F11,0.9553583658702473,0.0367319300586057,0.005849829018874357,0.9778791538609245,0.9626981460066744,0.913619222953109
F12,0.9033397906108245,0.0735565420984616,0.015366890079324045,0.9695203001055261,0.9214300279961242,0.907697146158629
F14,0.8915611548554953,0.05332550133613561,0.0313337104604006,0.9089875939398306,0.8730444357816187,0.8576699616372493
