eigenvalue_index,zeta_eig,L_chi5_eig,L_DH_eig
1,-6.508844931647707e-10,-7.984928222923349e-10,-1.722562836301184e-10
2,-2.1679067341396797e-10,-2.0214770606465358e-10,7.319562952596717e-11
3,-1.4253411429665143e-10,6.923603723242852e-11,8.559353442368356e-11
4,2.974172214734502e-11,3.7298502578828243e-10,4.4815356862498e-10
5,2.9975027816402236e-10,1.7298561679317602e-09,3.0237870584976395e-09
6,7.326146566488922e-10,5.932076411796389e-08,3.003512942201491e-08
7,1.966119243512098e-09,7.85663414335523e-07,1.9188184963501633e-06
8,6.106912270579446e-08,1.2499942788848011e-05,7.513216614633493e-06
9,1.6624747855249792e-06,3.5107480038105736e-05,0.00025322864757604225
10,1.5581656334473643e-05,0.26929674594019887,0.2711232891041526
