function,T,J2_ZX,ratio_normalized
zeta,200.0,2.907477025201888,0.9773720178074436
zeta,452.63157894736844,3.3170386690115854,0.9661177824311638
zeta,705.2631578947369,3.7436568556399274,1.016642796291282
zeta,957.8947368421052,3.8394065171411143,0.9961430654489911
zeta,1210.5263157894738,3.872211745690385,0.9715274864106134
zeta,1463.157894736842,4.091340642139006,0.9998108831549869
zeta,1715.7894736842104,4.013231762655257,0.9597493101097547
zeta,1968.421052631579,4.187035453488343,0.9831807694845404
zeta,2221.0526315789475,4.202092686331599,0.9712545142447383
zeta,2473.684210526316,4.275380386489787,0.9745693048260298
zeta,2726.315789473684,4.272973497931489,0.9620474845015725
zeta,2978.9473684210525,4.546085860673497,1.0121988852508153
zeta,3231.578947368421,4.507458232194069,0.9934886294268301
zeta,3484.210526315789,4.3990607579211005,0.9606484662637637
zeta,3736.842105263158,4.564763851169503,0.988351418498117
zeta,3989.4736842105262,4.481450864117245,0.9626570276575154
zeta,4242.105263157895,4.650666339073566,0.9916625224009661
zeta,4494.736842105263,4.643328176494742,0.9832880395046512
zeta,4747.368421052632,4.733516319184024,0.9959115230735106
zeta,5000.0,4.772066623089039,0.997910467472
LDH_with_off,200.0,3.333296132171377,1.1205145693021832
LDH_with_off,442.10526315789474,3.4645742100790127,1.0129867744477057
LDH_with_off,684.2105263157895,3.883255578576063,1.0594482158210798
LDH_with_off,926.3157894736842,3.722361772041481,0.9705148624448594
LDH_with_off,1168.421052631579,3.7575796915242057,0.9474917758100937
LDH_with_off,1410.5263157894738,4.020088960187642,0.9873618058358227
LDH_with_off,1652.6315789473683,4.055466655496828,0.9747582650869663
LDH_with_off,1894.7368421052631,4.027593630382323,0.9505223977288857
LDH_with_off,2136.842105263158,4.050339433244286,0.9408984567382142
LDH_with_off,2378.9473684210525,3.9879070031838935,0.9136060581849013
LDH_with_off,2621.0526315789475,4.296245957175425,0.9721259211806361
LDH_with_off,2863.157894736842,4.3447730254205785,0.9721942285294987
LDH_with_off,3105.2631578947367,4.458393683423377,0.9875471276028989
LDH_with_off,3347.3684210526317,4.261938489636741,0.9352990114540499
LDH_with_off,3589.4736842105262,4.592502260748705,0.999244815651206
LDH_with_off,3831.5789473684213,4.592433267362157,0.9913252028538051
LDH_with_off,4073.684210526316,4.730179206847397,1.013532788201667
LDH_with_off,4315.789473684211,4.659335047558312,0.9914668931455485
LDH_with_off,4557.894736842105,4.671789504961817,0.9876765084582398
LDH_with_off,4800.0,4.744564181281216,0.9969375104477175
LDH_no_off,200.0,3.0122971085621453,1.0126081402230438
LDH_no_off,442.10526315789474,3.174754719624452,0.9282481332739762
LDH_no_off,684.2105263157895,3.5720630101608934,0.9745471824708298
LDH_no_off,926.3157894736842,3.523271225764056,0.9186068680135342
LDH_no_off,1168.421052631579,3.6274865142646826,0.9146881560171617
LDH_no_off,1410.5263157894738,3.791628480816615,0.9312503233020218
LDH_no_off,1652.6315789473683,3.8655896832832797,0.9291200774904835
LDH_no_off,1894.7368421052631,3.75397652611507,0.8859480613197144
LDH_no_off,2136.842105263158,3.8369249732532467,0.8913220349689531
LDH_no_off,2378.9473684210525,3.7656546804271165,0.8626893571800522
LDH_no_off,2621.0526315789475,3.960485178877636,0.8961522085132033
LDH_no_off,2863.157894736842,4.134254875330687,0.9250883085376742
LDH_no_off,3105.2631578947367,4.099540651332582,0.9080601405316402
LDH_no_off,3347.3684210526317,4.051884545929845,0.8892018548717104
LDH_no_off,3589.4736842105262,4.279908149123645,0.9312300324873295
LDH_no_off,3831.5789473684213,4.28513056654337,0.9249906707024678
LDH_no_off,4073.684210526316,4.525757987464428,0.9697315706602934
LDH_no_off,4315.789473684211,4.297691583589447,0.9145122380310802
LDH_no_off,4557.894736842105,4.384330368435173,0.9269039424024461
LDH_no_off,4800.0,4.471294152112011,0.9395174541157247
Lchi5,200.0,3.3292057732600835,1.1191395619304876
Lchi5,415.7894736842105,3.9246380263956713,1.159180261594649
Lchi5,631.578947368421,3.7739827049271777,1.0424168882266935
Lchi5,847.3684210526316,4.064224892099849,1.0736477750608477
Lchi5,1063.157894736842,4.128506742256959,1.0551256481995992
Lchi5,1278.9473684210525,4.154339502999236,1.0343016446795232
Lchi5,1494.7368421052631,4.168774172086966,1.015757577458914
Lchi5,1710.5263157894738,4.448892268519528,1.0643749467217367
Lchi5,1926.3157894736842,4.45111532891526,1.0481788494344577
Lchi5,2142.1052631578946,4.470423813934005,1.038151439576422
Lchi5,2357.894736842105,4.344591311351473,0.9964596483645393
Lchi5,2573.684210526316,4.585532148844252,1.0399933004702864
Lchi5,2789.4736842105262,4.630875761202649,1.039618401564117
Lchi5,3005.2631578947367,4.521611584555827,1.0056439288233827
Lchi5,3221.0526315789475,4.4623926550472,0.9839530053761902
Lchi5,3436.842105263158,4.678045266786563,1.023289348776484
Lchi5,3652.6315789473683,4.803785483872959,1.0429937736205344
Lchi5,3868.4210526315787,4.728850893476637,1.0195898791497042
Lchi5,4084.210526315789,4.735609771532152,1.0143814662191297
Lchi5,4300.0,4.689561198128644,0.9983359331806217
LDelta,150.0,3.349892948037344,1.1907475964173753
LDelta,231.8181818181818,3.613841668852603,1.181889246486144
LDelta,313.6363636363636,4.002940916638742,1.2402987357921187
LDelta,395.45454545454544,4.051264420490338,1.2066140566315602
LDelta,477.27272727272725,4.419953082533427,1.276287954784466
LDelta,559.090909090909,4.30787727063602,1.212814239968942
LDelta,640.9090909090909,4.4644991824317035,1.2303473025990943
LDelta,722.7272727272727,4.518944810843912,1.2226232594141913
LDelta,804.5454545454545,4.462533987259778,1.1880069609056683
LDelta,886.3636363636363,4.68346688163522,1.2290315660168174
LDelta,968.1818181818181,4.567523600025803,1.1832135960874668
LDelta,1050.0,4.7527472983359065,1.2168377525768834
