sigma,J,m,alpha,prefactor
0.5,4,1,,
0.5,4,5,,
0.5,4,20,1.9999069311563213,0.37550340604052346
0.5,8,1,,
0.5,8,5,,
0.5,8,20,2.0000573870432206,14.327830562228161
0.5,12,1,,
0.5,12,5,,
0.5,12,20,2.000099680898896,58.50749298133035
0.5,16,1,,
0.5,16,5,,
0.5,16,20,2.0001875652410566,133.39659392956418
0.5,20,1,,
0.5,20,5,,
0.5,20,20,2.000280746669176,239.43364172869647
1.0,4,1,,
1.0,4,5,,
1.0,4,20,2.0000070235184966,1.7278208875841246
1.0,8,1,,
1.0,8,5,,
1.0,8,20,2.0000312315852122,10.226568170385839
1.0,12,1,,
1.0,12,5,,
1.0,12,20,2.000057514335532,23.53377806407086
1.0,16,1,,
1.0,16,5,,
1.0,16,20,2.0000690247761694,32.01268581734419
1.0,20,1,,
1.0,20,5,,
1.0,20,20,2.0001000956617663,49.865399035182826
2.0,4,1,,
2.0,4,5,,
2.0,4,20,2.0000003264353987,0.312598345388132
2.0,8,1,,
2.0,8,5,,
2.0,8,20,2.000009885422215,2.5144664360504394
2.0,12,1,,
2.0,12,5,1.997626153838538,1.1665025780785726e-05
2.0,12,20,2.0000146842595785,4.751799625697849
2.0,16,1,,
2.0,16,5,1.9999901912660634,0.0034130737443009806
2.0,16,20,2.0000170893281832,6.896354866404146
2.0,20,1,,
2.0,20,5,1.9999990588580816,0.13242909334280617
2.0,20,20,2.000027763580306,8.265761683180623
4.0,4,1,,
4.0,4,5,1.9999842423537904,0.005231509670168039
4.0,4,20,2.0000021002687034,0.0949341866516681
4.0,8,1,,
4.0,8,5,2.000005546487654,0.03412821809232477
4.0,8,20,2.0000016127157374,0.24397215721480328
4.0,12,1,,
4.0,12,5,2.0000005805115877,0.09324541269078924
4.0,12,20,2.000003720319282,0.6939052573682063
4.0,16,1,,
4.0,16,5,2.000004507416794,0.2774887150921191
4.0,16,20,2.000005501493787,1.2804367742952993
4.0,20,1,2.0112018532687936,7.793446635221955e-07
4.0,20,5,2.000005921806503,0.6568532420005615
4.0,20,20,2.0000071532475983,1.7334292493374215
