T0,J,lmin_X1e5,resid_X1e5,lmin_X1e7,resid_X1e7
30.0,4,-2.406172950980325e-11,-2.259503695256626e-11,-1.5303628140136819e-15,2.220446049250313e-16
30.0,8,-3.1217286295000285e-07,-2.6606415381991155e-07,-5.792103758081375e-15,4.618527782440651e-14
30.0,12,-0.00022063271527195068,-0.00016069623309533654,-4.30156055869456e-12,1.9699797348948778e-12
30.0,16,-0.015061508002094454,-0.007812365675937016,-1.2333711686322017e-10,5.115445844694477e-10
30.0,20,-0.08077179195579834,0.01416883512479572,-8.101131421850907e-08,-9.189383654018002e-08
30.0,24,-0.2967719401197922,0.03639125480278693,-1.3256576609158963e-06,1.78877350407447e-05
30.0,28,-0.4818702277882196,0.06509392136424452,-0.00016553703326034183,0.0007470215762452881
85.7,4,-1.606932417738869e-11,-1.503552837789357e-11,-1.3976921921893979e-14,-5.773159728050814e-15
85.7,8,-2.0217661805386265e-07,-1.7272390540057359e-07,-6.390148993392749e-14,6.927791673660977e-14
85.7,12,-0.00012958478083717522,-9.215674537976781e-05,-7.211323887926647e-12,1.950439809661475e-12
85.7,16,-0.006774645562748028,-0.002467354430489621,-2.9910632948966436e-10,7.725020623183809e-10
85.7,20,-0.04895248204216797,0.03801422647469721,-3.0394855657560536e-08,8.686274810543182e-09
85.7,24,-0.311957901619781,-0.03132359468886392,-5.145312394941635e-06,3.5656616926615925e-05
85.7,28,-0.5615471895556997,0.13344226714508522,-0.000558178535504073,0.0020490820018892464
